factor_id,layer,antecedents_str,consequents_str,n_conditions,conditions_detail,support,confidence,lift_vs_baseline,conf_safe,conf_diff,trigger_description
L2-57,2,Attr12=LOW & Attr57=LOW & Attr58=HIGH,Attr24=LOW,3,Attr12 <= -0.0183 AND Attr57 <= 0.0042 AND Attr58 >= 0.9990,0.2255,0.8626,10.343,0.7254,0.1371,"Firm simultaneously satisfies: Attr12=LOW & Attr57=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=86.3% (vs 72.5% in safe group). Lift vs baseline = 10.3x."
L2-58,2,Attr45=LOW & Attr57=LOW & Attr58=HIGH,Attr24=LOW,3,Attr45 <= -0.0009 AND Attr57 <= 0.0042 AND Attr58 >= 0.9990,0.2041,0.8613,10.3276,0.7048,0.1565,"Firm simultaneously satisfies: Attr45=LOW & Attr57=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=86.1% (vs 70.5% in safe group). Lift vs baseline = 10.3x."
L2-59,2,Attr24=LOW & Attr56=LOW,Attr41=LOW,2,Attr24 <= -0.0017 AND Attr56 <= 0.0007,0.3028,0.859,10.3001,0.7183,0.1407,"Firm simultaneously satisfies: Attr24=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=85.9% (vs 71.8% in safe group). Lift vs baseline = 10.3x."
L2-60,2,Attr12=LOW & Attr21=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr21 <= 0.9610,0.2018,0.8571,10.2779,0.646,0.2111,"Firm simultaneously satisfies: Attr12=LOW & Attr21=LOW. Among upgrade-overridden firms meeting this condition, confidence=85.7% (vs 64.6% in safe group). Lift vs baseline = 10.3x."
L2-61,2,Attr12=LOW & Attr24=LOW & Attr30=HIGH,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr30 >= 0.4222,0.2194,0.8567,10.2727,0.6318,0.2249,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr30=HIGH. Among upgrade-overridden firms meeting this condition, confidence=85.7% (vs 63.2% in safe group). Lift vs baseline = 10.3x."
L2-62,2,Attr30=HIGH & Attr58=HIGH,Attr12=LOW & Attr24=LOW,2,Attr30 >= 0.4222 AND Attr58 >= 0.9990,0.2064,0.8544,10.2453,0.7287,0.1258,"Firm simultaneously satisfies: Attr30=HIGH & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=85.4% (vs 72.9% in safe group). Lift vs baseline = 10.2x."
L2-63,2,Attr45=LOW,Attr24=LOW,1,Attr45 <= -0.0009,0.4014,0.8523,10.2195,0.7294,0.1229,"Firm simultaneously satisfies: Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=85.2% (vs 72.9% in safe group). Lift vs baseline = 10.2x."
L2-64,2,Attr12=LOW & Attr25=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr25 <= 0.0905,0.2584,0.8492,10.1832,0.6441,0.2051,"Firm simultaneously satisfies: Attr12=LOW & Attr25=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.9% (vs 64.4% in safe group). Lift vs baseline = 10.2x."
L2-65,2,Attr12=LOW & Attr24=LOW & Attr25=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr25 <= 0.0905,0.2324,0.8492,10.1822,0.6673,0.1818,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr25=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.9% (vs 66.7% in safe group). Lift vs baseline = 10.2x."
L2-66,2,Attr12=LOW & Attr24=LOW & cash_to_current_liabilities=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND cash_to_current_liabilities <= -59.6780,0.2049,0.8481,10.1694,0.6344,0.2137,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.8% (vs 63.4% in safe group). Lift vs baseline = 10.2x."
L2-67,2,Attr55=LOW & Attr56=LOW,Attr12=LOW & Attr24=LOW,2,Attr55 <= -66.5770 AND Attr56 <= 0.0007,0.2072,0.8469,10.1547,0.7024,0.1444,"Firm simultaneously satisfies: Attr55=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.7% (vs 70.2% in safe group). Lift vs baseline = 10.2x."
L2-68,2,Attr56=LOW,Attr12=LOW,1,Attr56 <= 0.0007,0.38,0.8452,10.1351,0.731,0.1142,"Firm simultaneously satisfies: Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.5% (vs 73.1% in safe group). Lift vs baseline = 10.1x."
L2-69,2,Attr12=LOW & Attr24=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr24 <= -0.0017,0.3723,0.844,10.1205,0.6451,0.1989,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.4% (vs 64.5% in safe group). Lift vs baseline = 10.1x."
L2-70,2,Attr12=LOW & Attr25=LOW & Attr45=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr25 <= 0.0905 AND Attr45 <= -0.0009,0.2225,0.8435,10.114,0.6285,0.215,"Firm simultaneously satisfies: Attr12=LOW & Attr25=LOW & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.3% (vs 62.9% in safe group). Lift vs baseline = 10.1x."
L2-71,2,Attr12=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND retained_earnings_to_assets <= -0.0011,0.2676,0.8434,10.1127,0.6449,0.1984,"Firm simultaneously satisfies: Attr12=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.3% (vs 64.5% in safe group). Lift vs baseline = 10.1x."
L2-72,2,Attr56=LOW & Attr58=HIGH,Attr24=LOW,2,Attr56 <= 0.0007 AND Attr58 >= 0.9990,0.3272,0.8425,10.1025,0.7071,0.1354,"Firm simultaneously satisfies: Attr56=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=84.3% (vs 70.7% in safe group). Lift vs baseline = 10.1x."
L2-73,2,Attr12=LOW & Attr30=HIGH & Attr45=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr30 >= 0.4222 AND Attr45 <= -0.0009,0.2194,0.8416,10.092,0.5775,0.2642,"Firm simultaneously satisfies: Attr12=LOW & Attr30=HIGH & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.2% (vs 57.7% in safe group). Lift vs baseline = 10.1x."
L2-74,2,Attr12=LOW & Attr45=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr45 <= -0.0009 AND retained_earnings_to_assets <= -0.0011,0.2385,0.841,10.0839,0.6308,0.2101,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.1% (vs 63.1% in safe group). Lift vs baseline = 10.1x."
L2-75,2,Attr12=LOW & Attr30=HIGH,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr30 >= 0.4222,0.2416,0.8404,10.0774,0.5906,0.2498,"Firm simultaneously satisfies: Attr12=LOW & Attr30=HIGH. Among upgrade-overridden firms meeting this condition, confidence=84.0% (vs 59.1% in safe group). Lift vs baseline = 10.1x."
L2-76,2,Attr12=LOW & Attr24=LOW & Attr45=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr45 <= -0.0009,0.3326,0.8398,10.0695,0.6322,0.2075,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=84.0% (vs 63.2% in safe group). Lift vs baseline = 10.1x."
L2-77,2,Attr12=LOW & Attr24=LOW & working_capital_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND working_capital_to_assets <= -0.0233,0.2232,0.8391,10.0613,0.646,0.1931,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.9% (vs 64.6% in safe group). Lift vs baseline = 10.1x."
L2-78,2,Attr12=LOW & Attr45=LOW & cash_to_current_liabilities=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr45 <= -0.0009 AND cash_to_current_liabilities <= -59.6780,0.2102,0.8384,10.0533,0.5837,0.2547,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.8% (vs 58.4% in safe group). Lift vs baseline = 10.1x."
L2-79,2,Attr12=LOW & cash_to_current_liabilities=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND cash_to_current_liabilities <= -59.6780,0.2255,0.8381,10.0491,0.5935,0.2446,"Firm simultaneously satisfies: Attr12=LOW & cash_to_current_liabilities=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.8% (vs 59.3% in safe group). Lift vs baseline = 10.0x."
L2-80,2,Attr12=LOW & Attr24=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND retained_earnings_to_assets <= -0.0011,0.2492,0.838,10.0489,0.6528,0.1853,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.8% (vs 65.3% in safe group). Lift vs baseline = 10.0x."
L2-81,2,Attr12=LOW & Attr45=LOW & Attr57=LOW,Attr24=LOW,3,Attr12 <= -0.0183 AND Attr45 <= -0.0009 AND Attr57 <= 0.0042,0.2737,0.8364,10.0297,0.7116,0.1249,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.6% (vs 71.2% in safe group). Lift vs baseline = 10.0x."
L2-82,2,Attr56=LOW & Attr57=LOW & Attr58=HIGH,Attr24=LOW,3,Attr56 <= 0.0007 AND Attr57 <= 0.0042 AND Attr58 >= 0.9990,0.2095,0.8354,10.0167,0.7097,0.1257,"Firm simultaneously satisfies: Attr56=LOW & Attr57=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=83.5% (vs 71.0% in safe group). Lift vs baseline = 10.0x."
L2-83,2,Attr56=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,2,Attr56 <= 0.0007 AND retained_earnings_to_assets <= -0.0011,0.2355,0.8347,10.0086,0.6954,0.1393,"Firm simultaneously satisfies: Attr56=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.5% (vs 69.5% in safe group). Lift vs baseline = 10.0x."
L2-84,2,Attr56=LOW & working_capital_to_assets=LOW,Attr12=LOW & Attr24=LOW,2,Attr56 <= 0.0007 AND working_capital_to_assets <= -0.0233,0.2118,0.8343,10.0044,0.7077,0.1267,"Firm simultaneously satisfies: Attr56=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.4% (vs 70.8% in safe group). Lift vs baseline = 10.0x."
L2-85,2,Attr24=LOW & Attr25=LOW & Attr45=LOW,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr25 <= 0.0905 AND Attr45 <= -0.0009,0.2018,0.8328,9.9861,0.6313,0.2016,"Firm simultaneously satisfies: Attr24=LOW & Attr25=LOW & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.3% (vs 63.1% in safe group). Lift vs baseline = 10.0x."
L2-86,2,Attr24=LOW & Attr45=LOW,Attr41=LOW,2,Attr24 <= -0.0017 AND Attr45 <= -0.0009,0.3333,0.8305,9.9581,0.6109,0.2195,"Firm simultaneously satisfies: Attr24=LOW & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.0% (vs 61.1% in safe group). Lift vs baseline = 10.0x."
L2-87,2,Attr12=LOW & Attr57=LOW,Attr24=LOW,2,Attr12 <= -0.0183 AND Attr57 <= 0.0042,0.2989,0.8301,9.9542,0.712,0.1181,"Firm simultaneously satisfies: Attr12=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=83.0% (vs 71.2% in safe group). Lift vs baseline = 10.0x."
L2-88,2,Attr12=LOW & working_capital_to_assets=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND working_capital_to_assets <= -0.0233,0.2416,0.8294,9.9451,0.6038,0.2256,"Firm simultaneously satisfies: Attr12=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.9% (vs 60.4% in safe group). Lift vs baseline = 9.9x."
L2-89,2,Attr41=LOW,Attr12=LOW,1,Attr41 <= 0.0688,0.4266,0.8267,9.9124,0.6105,0.2161,"Firm simultaneously satisfies: Attr41=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.7% (vs 61.1% in safe group). Lift vs baseline = 9.9x."
L2-90,2,Attr24=LOW & Attr45=LOW & working_capital_to_assets=LOW,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr45 <= -0.0009 AND working_capital_to_assets <= -0.0233,0.2041,0.8266,9.9119,0.6125,0.2141,"Firm simultaneously satisfies: Attr24=LOW & Attr45=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.7% (vs 61.3% in safe group). Lift vs baseline = 9.9x."
L2-91,2,Attr12=LOW & Attr24=LOW & Attr55=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr55 <= -66.5770,0.2148,0.8265,9.9101,0.6283,0.1982,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr55=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.6% (vs 62.8% in safe group). Lift vs baseline = 9.9x."
L2-92,2,Attr12=LOW & Attr55=LOW & working_capital_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr55 <= -66.5770 AND working_capital_to_assets <= -0.0233,0.2271,0.825,9.8924,0.5895,0.2355,"Firm simultaneously satisfies: Attr12=LOW & Attr55=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.5% (vs 59.0% in safe group). Lift vs baseline = 9.9x."
L2-93,2,Attr41=LOW & Attr57=LOW,Attr24=LOW,2,Attr41 <= 0.0688 AND Attr57 <= 0.0042,0.2485,0.8249,9.8909,0.72,0.1049,"Firm simultaneously satisfies: Attr41=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.5% (vs 72.0% in safe group). Lift vs baseline = 9.9x."
L2-94,2,Attr24=LOW & Attr45=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr45 <= -0.0009 AND retained_earnings_to_assets <= -0.0011,0.2232,0.8249,9.8907,0.6162,0.2086,"Firm simultaneously satisfies: Attr24=LOW & Attr45=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.5% (vs 61.6% in safe group). Lift vs baseline = 9.9x."
L2-95,2,Attr12=LOW & Attr45=LOW & working_capital_to_assets=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr45 <= -0.0009 AND working_capital_to_assets <= -0.0233,0.2194,0.8247,9.889,0.5922,0.2325,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.5% (vs 59.2% in safe group). Lift vs baseline = 9.9x."
L2-96,2,Attr25=LOW & Attr56=LOW,Attr12=LOW & Attr24=LOW,2,Attr25 <= 0.0905 AND Attr56 <= 0.0007,0.2141,0.8235,9.8748,0.7209,0.1026,"Firm simultaneously satisfies: Attr25=LOW & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=82.4% (vs 72.1% in safe group). Lift vs baseline = 9.9x."
L2-97,2,Attr57=LOW & Attr58=HIGH,Attr24=LOW,2,Attr57 <= 0.0042 AND Attr58 >= 0.9990,0.2271,0.8204,9.8378,0.6858,0.1347,"Firm simultaneously satisfies: Attr57=LOW & Attr58=HIGH. Among upgrade-overridden firms meeting this condition, confidence=82.0% (vs 68.6% in safe group). Lift vs baseline = 9.8x."
L2-98,2,Attr12=LOW & Attr55=LOW,Attr41=LOW,2,Attr12 <= -0.0183 AND Attr55 <= -66.5770,0.2324,0.8194,9.8254,0.5852,0.2342,"Firm simultaneously satisfies: Attr12=LOW & Attr55=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.9% (vs 58.5% in safe group). Lift vs baseline = 9.8x."
L2-99,2,Attr45=LOW & retained_earnings_to_assets=LOW,Attr41=LOW,2,Attr45 <= -0.0009 AND retained_earnings_to_assets <= -0.0011,0.2393,0.8194,9.8249,0.6008,0.2186,"Firm simultaneously satisfies: Attr45=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.9% (vs 60.1% in safe group). Lift vs baseline = 9.8x."
L2-100,2,Attr12=LOW & Attr24=LOW & Attr57=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr24 <= -0.0017 AND Attr57 <= 0.0042,0.2446,0.8184,9.8135,0.6127,0.2057,"Firm simultaneously satisfies: Attr12=LOW & Attr24=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.8% (vs 61.3% in safe group). Lift vs baseline = 9.8x."
L2-101,2,Attr25=LOW & Attr45=LOW,Attr41=LOW,2,Attr25 <= 0.0905 AND Attr45 <= -0.0009,0.2225,0.8174,9.8015,0.5966,0.2208,"Firm simultaneously satisfies: Attr25=LOW & Attr45=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.7% (vs 59.7% in safe group). Lift vs baseline = 9.8x."
L2-102,2,Attr12=LOW & Attr45=LOW & Attr55=LOW,Attr41=LOW,3,Attr12 <= -0.0183 AND Attr45 <= -0.0009 AND Attr55 <= -66.5770,0.2133,0.8158,9.782,0.5762,0.2396,"Firm simultaneously satisfies: Attr12=LOW & Attr45=LOW & Attr55=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.6% (vs 57.6% in safe group). Lift vs baseline = 9.8x."
L2-103,2,Attr30=HIGH & Attr56=LOW,Attr12=LOW & Attr24=LOW,2,Attr30 >= 0.4222 AND Attr56 <= 0.0007,0.2049,0.8146,9.7676,0.6855,0.1291,"Firm simultaneously satisfies: Attr30=HIGH & Attr56=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.5% (vs 68.6% in safe group). Lift vs baseline = 9.8x."
L2-104,2,Attr45=LOW & Attr57=LOW,Attr24=LOW,2,Attr45 <= -0.0009 AND Attr57 <= 0.0042,0.2791,0.8129,9.7476,0.6803,0.1326,"Firm simultaneously satisfies: Attr45=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.3% (vs 68.0% in safe group). Lift vs baseline = 9.7x."
L2-105,2,Attr56=LOW & Attr57=LOW,Attr24=LOW,2,Attr56 <= 0.0007 AND Attr57 <= 0.0042,0.2232,0.8111,9.7259,0.6949,0.1162,"Firm simultaneously satisfies: Attr56=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.1% (vs 69.5% in safe group). Lift vs baseline = 9.7x."
L2-106,2,Attr45=LOW & Attr55=LOW & working_capital_to_assets=LOW,Attr41=LOW,3,Attr45 <= -0.0009 AND Attr55 <= -66.5770 AND working_capital_to_assets <= -0.0233,0.208,0.8095,9.7069,0.5473,0.2622,"Firm simultaneously satisfies: Attr45=LOW & Attr55=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=81.0% (vs 54.7% in safe group). Lift vs baseline = 9.7x."
L2-107,2,Attr24=LOW & Attr45=LOW & Attr57=LOW,Attr41=LOW,3,Attr24 <= -0.0017 AND Attr45 <= -0.0009 AND Attr57 <= 0.0042,0.2232,0.8,9.5927,0.5777,0.2223,"Firm simultaneously satisfies: Attr24=LOW & Attr45=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=80.0% (vs 57.8% in safe group). Lift vs baseline = 9.6x."
L2-108,2,Attr29=LOW & Attr41=LOW,Attr12=LOW,2,Attr29 <= 3.5504 AND Attr41 <= 0.0688,0.2011,0.7946,9.5275,0.6337,0.1609,"Firm simultaneously satisfies: Attr29=LOW & Attr41=LOW. Among upgrade-overridden firms meeting this condition, confidence=79.5% (vs 63.4% in safe group). Lift vs baseline = 9.5x."
L2-109,2,Attr24=LOW & Attr57=LOW,Attr41=LOW,2,Attr24 <= -0.0017 AND Attr57 <= 0.0042,0.2485,0.7908,9.4818,0.5495,0.2413,"Firm simultaneously satisfies: Attr24=LOW & Attr57=LOW. Among upgrade-overridden firms meeting this condition, confidence=79.1% (vs 54.9% in safe group). Lift vs baseline = 9.5x."
L2-110,2,Attr30=HIGH & retained_earnings_to_assets=LOW,Attr12=LOW,2,Attr30 >= 0.4222 AND retained_earnings_to_assets <= -0.0011,0.2057,0.7843,9.4039,0.6447,0.1395,"Firm simultaneously satisfies: Attr30=HIGH & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=78.4% (vs 64.5% in safe group). Lift vs baseline = 9.4x."
L2-111,2,Attr55=LOW & retained_earnings_to_assets=LOW,Attr12=LOW,2,Attr55 <= -66.5770 AND retained_earnings_to_assets <= -0.0011,0.2057,0.7664,9.1896,0.6467,0.1197,"Firm simultaneously satisfies: Attr55=LOW & retained_earnings_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.6% (vs 64.7% in safe group). Lift vs baseline = 9.2x."
L2-112,2,Attr55=LOW & retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr12=LOW,3,Attr55 <= -66.5770 AND retained_earnings_to_assets <= -0.0011 AND working_capital_to_assets <= -0.0233,0.2003,0.7661,9.186,0.6486,0.1175,"Firm simultaneously satisfies: Attr55=LOW & retained_earnings_to_assets=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.6% (vs 64.9% in safe group). Lift vs baseline = 9.2x."
L2-113,2,retained_earnings_to_assets=LOW & working_capital_to_assets=LOW,Attr12=LOW,2,retained_earnings_to_assets <= -0.0011 AND working_capital_to_assets <= -0.0233,0.208,0.7598,9.1103,0.6415,0.1183,"Firm simultaneously satisfies: retained_earnings_to_assets=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=76.0% (vs 64.1% in safe group). Lift vs baseline = 9.1x."
L2-114,2,Attr30=HIGH & working_capital_to_assets=LOW,Attr25=LOW,2,Attr30 >= 0.4222 AND working_capital_to_assets <= -0.0233,0.2209,0.7526,9.0243,0.6495,0.1031,"Firm simultaneously satisfies: Attr30=HIGH & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=75.3% (vs 65.0% in safe group). Lift vs baseline = 9.0x."
L2-115,2,Attr30=HIGH & cash_to_current_liabilities=LOW & working_capital_to_assets=LOW,Attr25=LOW,3,Attr30 >= 0.4222 AND cash_to_current_liabilities <= -59.6780 AND working_capital_to_assets <= -0.0233,0.2041,0.7521,9.0185,0.6516,0.1006,"Firm simultaneously satisfies: Attr30=HIGH & cash_to_current_liabilities=LOW & working_capital_to_assets=LOW. Among upgrade-overridden firms meeting this condition, confidence=75.2% (vs 65.2% in safe group). Lift vs baseline = 9.0x."
